writing_id,learner_id,learner_id_categorical,nationality,l1,cefr,cefr_numeric,level,unit,topic_id_original,topic_id_original_categorical,topic_id,topic_id_categorical,text_number_per_learner_in_task,topic,secondary_topic,topic_to_keep,date,time,grade,wordcount,mtld,text,text_corrected
961,130930,130930,br,Portuguese,A1,1,1,1,1,1A,1,1A,1,Introducing yourself by email,english,both topics,40614,23:24:33.520,78,41,67.24,"
	  Hi, My name's Leon. I don't speak english, but I am in learning stage, so I do not have much to say in the newsroom. Good, study the 3rd grade of high school and I intend to exchange. Good Night, bye.
	","Hi, My name's Leon. I don't speak english, but I am in learning stage, so I do not have much to say in the newsroom. Good, study the 3rd grade of high school and I intend to exchange. Good Night, bye."
1523,18131,18131,sa,Arabic,A1,1,1,1,1,1A,1,1A,1,Introducing yourself by email,name,both topics,40617,02:24:17.907,83,24,26.88,"
	  Hi.... From: To: Date: Hi! How are you? My name's Anna. I'm 23 years old. What's your name? How old are you? Bye! Anna.
	",Hi.... From: To: Date: Hi! How are you? My name's Anna. I'm 23 years old. What's your name? How old are you? eye! Anna.
2817,8501,8501,cn,Mandarin,A1,1,1,1,1,1A,1,1A,1,Introducing yourself by email,name,both topics,40617,11:21:38.090,82,25,43.75,"
	  Dear Anna: I'm Xudong. I'm 33 years old. Nice to meet you. I'm from Guang Dong I hope take to your friend. good Bye! Xudong
	",Dear Anna: I'm auding. I'm 33 years old. Nice to meet you. I'm from Guana Dong I hope take to your friend. good eye! auding
2887,13162,13162,fr,French,A1,1,1,1,1,1A,1,1A,1,Introducing yourself by email,name,both topics,40617,12:57:02.390,96,35,42.875,"
	  Hello! Nice to meet you. I am fine, thanks. How are you? My name is Marie Joelle. I am 53 years old. What's your phone number. My phone number is 555 5555 Goodbye! Marie joelle
	","bello! Nice to meet you. I am fine, thanks. How are you? My name is Marie Joelle. I am 53 years old. What's your phone number. My phone number is 555 5555 goodbye! Marie jelly"
2286,152797,152797,br,Portuguese,A1,1,1,1,1,1A,1,1A,1,Introducing yourself by email,english,both topics,40617,20:47:14.560,90,44,108.416,"
	  Hi teacher! How are you? My name's Marcos Malachias and live in Brazil, where do you live? I'm 26 years old. Today is my second day of the course. I need to learn english to visit a client em Dallas EUA. Thanks. Bye! Marcos.
	","Hi teacher! How are you? My name's Marcos Malachias and live in Brazil, where do you live? I'm 26 years old. Today is my second day of the course. I need to learn english to visit a client em Dallas EU. thanks. eye! Marcos."
3224,25011,25011,it,Italian,A1,1,1,1,1,1A,1,1A,1,Introducing yourself by email,name,both topics,40618,11:56:58.683,87,22,45.17333333,"
	  hello! my name's Gaetano, i'm 70 years old. I'm italian. i leave in Legnano Milano. My addres is ......... I'm ingeneer electronic, Bye
	","hello! my name's Gaetano, i'm 70 years old. I'm italian. i leave in Lugano Milano. My address is ......... I'm ingener electronic, eye"
796,52581,52581,br,Portuguese,A1,1,1,1,1,1A,1,1A,1,Introducing yourself by email,name,both topics,40619,19:53:26.670,89,45,81,"
	  Hi Anna! I'm fine, thanks. My name's Elias. I'm 34 years old. I'm from Brasil and i live in the city of Belo Horizonte with my dog and my wife Ana Beatriz. We don't have kids, but we are thinking about this. Regards, Elias Peixoto.
	","Hi Anna! I'm fine, thanks. My name's Elias. I'm 34 years old. I'm from Brasil and i live in the city of Bell Horizonte with my dog and my wife Ana Beatriz. We don't have kids, but we are thinking about this. regards, Elias Peixoto."
2152,42261,42261,cn,Mandarin,A1,1,1,1,1,1A,1,1A,1,Introducing yourself by email,english,both topics,40620,01:00:34.187,72,42,152.46,"
	  Hi! My name""s huxiaofang. I come from China.I'm thirty-eight.My family have four .husbuad and two boy.I like thier.they love me,too. Anna.How are you now?Please call me ,my phone number is 5501732. bye! huxiaofang
	","Hi! My name""s huxiaofang. I come from China.I'm thirty-eight.My family have four .husband and two boy.I like their.they love me,too. Anna.How are you now?Please call me ,my phone number is 5501732. bye! huxiaofang"
4126,19345,19345,cn,Mandarin,A1,1,1,1,1,1A,1,1A,1,Introducing yourself by email,english,both topics,40620,04:46:33.720,89,37,50.82,"
	  Hi! Anna,How are you? Thank you to sendmail to me. My name's Anfeng.I'm 24 years old.Nice to meet you !I think we are friends already,I hope we can learn english toghter! Bye! Anfeng.
	","Hi! Anna,How are you? Thank you to sendal to me. My name's Anking.I'm 24 years old.Nice to meet you !I think we are friends already,I hope we can learn english tighter! eye! Anking."
305,36888,36888,br,Portuguese,A1,1,1,1,1,1A,1,1A,1,Introducing yourself by email,name,both topics,40620,13:07:41.410,86,26,47.32,"
	  Hi. I'm fine thanks. Hope you're fine too. My name's Josyane. I'm 27 years. Where you live? I'm from Brazil. Nice to meet you. Bye Anna.
	",Hi. I'm fine thanks. Hope you're fine too. My name's Joyan. I'm 27 years. Where you live? I'm from Brazil. Nice to meet you. eye Anna.
